Year,GCV,SB,SB_Reduction
1,0,0,0
2,0,0,0
3,0.91735,0.25,0
4,1.37915,0.07,0
5,2.2743,0.015,0
6,2.7779,0.175,15.51%
7,3.1653,0.725,28.07%
8,3.2063,0.04,28.45%
9,3.4473,0.045,27.69%
10,3.87945,0.09,26.66%
11,4.22935,0.045,25.60%
12,4.62035,0.01,24.07%
13,5.01135,0.005,22.68%
14,5.0244,0.215,25.11%
15,5.03945,0.25,27.74%
16,5.0566,0.255,30.22%
17,5.0758,0.65,35.87%
18,5.0971,0.815,41.76%
19,5.1205,1.02,47.72%
20,5.13675,1.295,53.75%
21,5.1513,0.745,56.59%
22,5.1666,0.82,59.32%
23,5.18265,0.9,61.94%
24,5.1995,0.99,64.45%
25,5.21715,1.09,66.84%
26,5.2356,1.2,69.11%
27,5.2548,1.315,71.26%
28,5.27485,1.45,73.29%
29,5.2957,1.595,75.22%
30,5.31735,1.755,77.02%
31,5.3414,1.695,78.52%
32,5.3664,1.835,79.92%
33,5.3924,1.99,81.24%
34,5.4194,2.155,82.47%
35,5.44735,2.34,83.64%
36,5.47635,2.54,84.72%
37,5.5064,2.75,85.75%
38,5.5375,2.985,86.70%
39,5.56965,3.24,87.60%
40,5.60285,3.515,88.43%
41,5.63715,3.625,89.18%
42,5.6726,3.915,89.88%
43,5.70915,4.23,90.54%
44,5.7469,4.565,91.14%
45,5.78575,4.93,91.73%
46,5.82585,5.325,92.25%
47,5.86715,5.755,92.75%
48,5.90965,6.215,93.23%
49,5.95345,6.72,93.67%
50,5.9985,7.265,94.07%
51,6.0419,8.015,94.47%
52,6.08645,8.685,94.84%
53,6.1322,9.415,95.18%
54,6.17915,10.205,95.51%
55,6.22735,11.07,95.80%
56,6.27675,12,96.08%
57,6.3275,13.025,96.35%
58,6.3795,14.135,96.59%
59,6.4328,15.34,96.84%
60,6.48745,16.66,97.06%
61,6.52815,17.285,97.23%
62,6.5695,18.695,97.39%
63,6.6115,20.215,97.58%
64,6.65415,21.87,97.72%
65,6.69745,23.66,97.86%
66,6.7415,25.61,98.03%
67,6.7862,27.715,98.16%
68,6.8316,30.005,98.26%
69,6.87775,32.49,98.38%
70,6.9246,35.195,98.49%
71,6.9674,37.115,98.62%
72,7.01075,40.11,98.61%
73,7.05465,43.35,98.73%
74,7.0991,46.87,98.78%
75,7.1441,50.675,98.96%
76,7.1897,54.805,99.01%
77,7.23585,59.275,98.94%
78,7.2826,64.125,98.98%
79,7.32995,69.385,99.21%
80,7.3779,75.09,99.26%
81,7.42355,75.145,99.16%
82,7.4697,80.75,99.20%
83,7.51635,86.785,99.20%
84,7.5635,93.275,99.21%
85,7.6112,100.245,99.24%
86,7.65945,107.755,99.36%
87,7.7082,115.825,99.28%
88,7.7575,124.51,99.37%
89,7.80735,133.85,99.31%
90,7.85775,143.905,99.54%
91,7.9087,154.72,99.24%
92,7.96025,166.355,99.32%
93,8.01235,178.88,99.37%
94,8.06505,192.355,99.45%
95,8.11835,206.86,99.59%
96,8.1722,222.475,99.19%
97,8.2267,239.275,99.58%
98,8.28175,257.36,99.48%
99,8.3375,276.83,99.60%
100,8.3938,297.795,99.19%
